,text,label
118,谁有课堂上老师关于渐近线的求法以及典型例题，作整理用特别是求求斜渐近线的那个,0
119,这道题不用公式怎么推出来啊,2
120,差不多是这样,0
121,两次的非齐次线性微分方程即可,1
122,求多种解,3
123,求解，答案是B,3
124,怎么做呀,2
125,右极限为，左极限为负无穷，不存在故右连续左不连续,0
126,求各位大神看看有问题吗,0
127,单元测试的答案现在不可以看了吗,3
128,求解为什么,2
129,谢谢你,0
130,单元测试都没做,3
131,判断函数的单调性，能用图像表示，不用列表表示，可以吗,0
132,导数答案c，请教一下，怎么得出来的,2
133,有极限和可导是无关的,0
134,问题，为什么是B,2
135,那个就是,1
136,你可以把sinx换成x，利用等价无穷小,1
137,你可以把sinx换成x，因为这俩个等价,1
138,分母下方x²，为何可以不管呢,2
139,x趋于，sinx除以x才等于,1
140,这题怎么做洛必达法则,2
141,这道题我算的是a，你们呢,0
142,a，b，为什么没答案,2
143,为什么我算滴a，b没得答案,0
144,怎么算的,2
145,当x趋近无穷，e就为就成了axb,1
146,为什么我算滴a，b没得答案,1
147,定积分能帮忙解一下吗，谢谢,2
148,求解,2
149,求解求解,3
150,谢谢你,0
151,可以写下过程吗谢谢,2
152,还是不会可以写一下过程吗谢谢,2
153,求大神讲解，,2
154,求解这步怎么得到的,2
155,第二部代入了x所以两个式子变成了,0
156,第二部代入了x所以两个式子变成了,0
157,嗯嗯,0
158,同学自己在复习下重要的等价无穷小代换的个公式的一般形式马上就可以得出结果了,1
159,明白啦谢谢,0
160,请问这题怎么做呢,2
161,这个怎么做哦大佬,2
162,求解计算题第五题,2
163,极限已知函数极限，求参数a，b的方法是请教一下，多谢,2
164,有边际分析的课件么,2
165,请求各位大神们帮忙指点一下,3
166,等式上下同除以x得出答案,1
167,等式上下同除以x得出答案,1
168,不知道结果对不对这是我的思路,0
169,老师这题我不知道咋么下手啊,2
170,请大神们看过来，第题求函数的导数，如何求,2
171,怎么求哦谢谢第二个求微分方程的第二个谢谢,2
172,间断点老师这个怎么做呢,2
173,极限求解，这类题都不太会，急,2
174,噢噢已经会了,0
175,请问接下来怎么做，谢谢,2
176,请教,2
177,请问常用函数的麦克劳林公式有那些，可以写一下给我吗，非常感谢,2
178,有个自己在课本或者图书馆找下吧,3
179,第二和第三题怎么做，谢谢,3
180,第一题怎么写啊,3
181,题怎么做哦谢谢,2
182,第六题怎么写，谢谢,2
183,谢谢大佬题怎么写,2
184,谢谢大佬第一题怎么写,2
185,这题怎么做呢,3
186,求解,2
187,这步不理解求解,2
188,已经明白,0
189,第题怎么做,3
190,求高手写下这题,2
191,狄利克雷函数是分段函数，严格来说狄利克雷函数是有图像的，但由,1
192,狄利克雷函数是分段函数，严格来说狄利克雷函数是有图像的，但由,1
193,第三题，要详细过程，谢谢,2
194,大概是这样吧,0
195,第题求不定积分,2
196,第四题怎么做哦,2
197,第一题怎么做哦,2
198,求解答,3
199,这个怎么写,2
200,夹逼定理,1
201,第题求不定积分,2
202,第题求不定积分怎么写,2
203,电子版证书有人发了吗是申请的还是,2
204,电子版有人发了吗是自己申请的还是,2
205,求具体步骤,2
206,利用第二换元法注意换元的同时，定积分的上下限也要跟着变换,1
207,等价无穷小在加减法中替换的条件,2
208,极限的线性代数运算需要严格的证明，极限都存在时的无穷小代换是少数无穷小代换不能用于加减，只能用于乘除法,0
209,为什么,2
210,在解题中的加法运算时，用等价无穷小替换了,0
211,比如这道题,1
212,有的题在加减法时也用等价无穷小替换了,1
213,第三题怎么写啊,2
214,谢谢,0
215,计算时小心点啊,1
216,嗯嗯，谢谢这位同学的提醒,0
217,还有第四题,2
218,求解，感谢,3
219,老师纸质版的证书什么时候发放啊，我们现在需要用,3
220,找答案不会的直接上百度搜把题都输进去，都有答案，还费劲问干啥,3
221,求积分求积分，第五题,2
222,利用倍角公式转化为个积分然后分别求出还是考察分部积分法同学，自己动手做做看,1
223,这位好心人，我说的是第五题,1
224,第九题怎么写，要详细过程，谢谢,2
225,参数方程的高阶导数,2
226,洛必达法则求极限求解,2
227,求积分,2
228,好像也有提出然后把x平方看成根号下x的平方然后就能用arcsinx了,0
229,凑微分法可解,0
230,好像也有提出然后把x平方看成根号下x的平方然后就能用arcsinx了,0
231,这题怎么做啊求解,3
232,谢谢,0
233,思想很对，但是好像第四行到第五行那个给丢了,1
234,谢谢下次我会注意这些细节,0
235,分布积分法，下面我觉得应该可以继续不知道可行不可行你试试,1
236,谢谢,0
237,helpme,2
238,等价无穷小为什么不能在加减法中应用,2
239,计算不定积分,2
240,狄利克雷函数为什么狄利克雷函数不是初等函数呢,2
241,到这一类题怎么做呢希望大神可以看看,2
242,大神赐教第题，谢谢,2
243,求解h怎么得出的,2
244,将r带到原式中求出h,1
245,将r带到原式中求出h,1
246,啊啊这样的谢谢,0
247,求教求教,2
248,洛必达法则直接求导,1
249,洛必达法则直接求导,1
250,不太会啊求求大神,2
251,已解决,0
252,你还想要什么视频,3
253,之后的课程,1
254,这题怎么写谢谢,3
255,求解这题,2
256,用夹逼准则咯,1
257,夹不出来，要不你试试,0
258,求解这步为什么,2
259,先是通分,1
260,好的谢谢你,0
261,可导麻烦问一下，咋判断函数在定义域内可导,2
262,哪位大神帮忙看一下第题，求过程,2
263,麻烦你作图了，谢谢,2
264,为什么用柱壳法和用以截面看成圆的方法得到的结果不一样,0
265,第七题怎么做求过程,2
266,找连续点请问不连续点为什么不是kπ／,2
267,你先化简啊,1
268,不定积分求解，急,2
269,题对数这项少写了个系数分之,1
270,求解怎么计算得出的,2
271,明白啦谢谢你,0
272,这道题怎么写，谢谢,2
273,为什么这种解法是错误的呢,2
274,你这个相当于无穷小减无穷小等于无穷小，但是显然是不对的哎,1
275,还是不明白,2
276,你看哦，有限个无穷小相加为无穷小，无限个加起来就不一定了,1
277,这个也有一点这种意思吧,1
278,ok谢谢你哦,0
279,没事没事,1
280,第二题怎么做，谢谢,3
281,用洛必达法则,1
282,老师，同学们，请问这个不定积分怎么求，尝试了很多方法了,2
283,要详细过程,2
284,第题，这个前面怎么得到后面的谢谢,2
285,这个前面的是怎么得到的，还有分母上的√t到哪去了,2
286,求解复合函数求导绕不出来了,2
287,间断点判断题目，希望哪个大神能够解决教我谢谢,2
288,有理分式化简有理分式时候如何确定分子是A还是MxN呢,0
289,向量a乘向量b表示什么,2
290,我这个问题很短,3
291,应该是x,1
292,应该是x,1
293,大哥，你看看我的题目,2
294,第四题怎么做求过程,2
295,下载不了呐,3
296,请问一下这题怎么做,3
297,ex在x趋近于时的左导数与右导数不等,1
298,在逼近的时候是振动的所以不可导，但极限是逼近的，所以连续,0
299,老师，同学们帮帮孩子吧划线处是怎么推的,2
300,这是三角函数的诱导公式得出的,1
301,这是三角函数的诱导公式得出的,1
302,老师，同学们帮帮孩子吧这是怎么推出下面的,2
303,这是个公式直接得出的,1
304,对，我后面再回头复习看到了,0
305,这个感谢,0
306,分子用等价无穷小分母先分解因式再等价无穷小代换就可以得出的,1
307,感谢,0
308,请教如果不知道xtanx的等价无穷小替换，还有其他方法吗,0
309,有，用罗比达,1
310,分子用等价无穷小分母先分解因式再等价无穷小代换就可以得出的,1
311,不太懂，能写写具体过程吗，我老是算不出正确答案,2
312,请问一下,3
313,第一个是x分之一,1
314,感谢,0
315,求教,3
316,不定积分求解,2
317,罗尔定理第二题和第三题，类型差不多，不用数形结合怎么做，求解,0
318,极限第五题，求证明,2
319,同学，你过程有问题吧,1
320,能写一下吗,2
321,求解为什么,2
322,既然n分之一小于义乌色龙，它大于后面的哪个绝对值式子这就是要寻找的大N这就是义乌色龙和N来定义极限的标准形式这值得初学者好好去体会,1
323,谢谢,0
324,呃呃呃呃，我也不懂,3
325,因个人原因延误申请证书时间可否补发证书,2
326,发的证书上为什么不显示学时啊,2
327,纸质版的证书为什么现在还没有发放啊,2
328,你的证书是纸质版的吗是不是没有电子版证书了,2
329,极限第三题，求解,2
330,懂了，蟹蟹,0
331,同学答案是多少,2
332,同学答案是多少,2
333,求教急哪位大神给我讲讲,2
334,第一题因式分解等价无穷小代换重要极限或者换底公式法,1
335,这个怎么积分啊,2
336,这题怎么做啊,2
337,第二类换元法,1
338,求各位大神指导,2
339,通分，洛必达法则求,1
340,这个题怎么做,2
341,请问这个题怎么做,2
342,求大佬指点,2
343,求大佬指点,2
344,老师，这是为啥啊,2
345,能不能求一下它的导数，详细一点,2
346,谢谢,0
347,第十一题怎么写,2
348,第一题第二个空为啥是我算的是负,0
349,嗯嗯，谢谢,0
350,帮我看看这个题吧，谢谢了,2
351,求推荐高数练习册求推荐，练习册和解答书都行,2
352,老师不是说同济大学出的那本高数不错吗可以写那个的学习指导,1
353,老师，这题怎么做呢,2
354,老师，这题怎么做呢,2
355,收敛数列的保号性,1
356,第七题如何快速写出拆开后的式子,2
357,咋做啊第一道题为啥算出来的答案是,2
358,这个题请教怎么理解,2
359,这样做是错误的,1
360,那正确做法还就是你写的那种吗,2
361,向量a乘向量b等于零时，不应该是垂直吗,0
362,a×b是向量积，ab是向量的数量积，数量积为零时两向量才垂直，是为两者，不容混淆,1
363,第四题和第六题怎么做，谢谢,3
364,麻烦大佬看看，救救孩子吧,2
365,极限求值，求各位大神指点一二,2
366,谢谢各位大神,0
367,谢谢,0
368,谢谢,0
369,不用客气啦,1
370,谢谢,0
371,这个题怎么写,2
372,谢谢,0
373,帮我看看这个题吧,3
374,详细解法帮个忙,2
375,我是这么理解的,0
376,极限怎么推的呀,2
377,好像懂了，蟹蟹,0
378,噢噢，懂了懂了，非常感谢,0
379,额，答案没错,1
380,这个我肯定会呀，你看清楚题目,3
381,我哪里做错了,3
382,分子分母同乘x的次方，有错么,3
383,答案应该是吧,1
384,电子版证书什么时候可以看,3
385,这道题怎么写,3
386,无穷,1
387,有界函数,1
388,答案不是写等于多少吗,2
389,那就不清楚了不好意思,3
390,谁会写这道题吗,2
391,谢谢,0
392,谢谢,0
393,谢谢,0
394,求解，后边不会了,3
395,请问这个怎么写啊,3
396,求解怎么得到的,2
397,明白了谢谢,0
398,这一步是怎么计算得出的求解,2
399,原式是多少你只拍了y的导数，y是多少,0
400,原式放在评论里的图片中了还请解答谢谢,2
401,答案是吗,0
402,谢谢啦懂了,0
403,不能申请证书了吗,3
404,嗯这个题目答案是，请问我这么写有什么问题吗,0
405,能不能帮我写一下过程,3
406,谢谢,0
407,怎么做,3
408,证书什么时候发放电子版最快能什么时候发放,3
409,申请的证书到现在也没发放,3
410,无电子版，bro,3
411,申请的证书到现在也没发放,3
412,求大神解答，拜托，急得很为啥函数yxsinx在区间，内无界可以用简单的方式解答吗，就是那种一语点醒梦中人的话，谢谢,0
413,x趋向零x趋向无穷，sinx有界，有界和无穷相乘无界,1
414,x趋向零x趋向无穷，sinx有界，有界和无穷相乘无界,1
415,谢谢,0
416,这个题怎么做的啊帮帮忙看看，非常感谢,2
417,种方法利用重要极限的变形求利用换底公式求同学自己种方法都试试看,1
418,种方法利用重要极限的变形求利用换底公式求同学自己种方法都试试看,1
419,请赐教,2
420,利用左右连续的定义试试看,0
421,请赐教,2
422,第三题怎么做,3
423,求解,3
424,第一题咋做鸭求过程,2
425,求大神指教,2
426,用泰勒公式求极限,2
427,这个是为什么，用泰勒公式展开为什么是这样的,2
428,懂了，蟹蟹,0
429,大神救救孩子吧,2
430,这题怎么做,3
431,嗯，看懂了，但是运用泰勒公式原式分子是不是可以直接等于X十X一X一X,0
432,可以啊，上面那两个等价本来就是泰勒公式推出来的,1
433,不可导点咋定义呀,2
434,首先要有极限存在，然后左右导函数极限等于该点导函数值,1
435,这个有什么问题吗,2
436,帮忙看看这个第二题求极值的，这怎么做啊谢谢,2
437,尝试一下，不知道对不对,0
438,你的导数求错了,1
439,中间应该是减,1
440,谢谢指出,0
441,麻烦大佬看看这三题，,2
442,谢谢大佬,0
443,麻烦老师帮我看看这题怎么写求单调区间，求详细的解析，谢谢,2
444,这一步怎么转化的,2
445,一道选择题求选项解析，谢谢大家,3
446,为什么直接得到分子了呢t后怎么没有那一串了呢,0
447,求助为什么可以等于,2
448,我觉得因为是AB只是极限，并不是恒等于,0
449,求助为何极限不存在,2
450,同问，为啥不存在，趋近又不是,2
451,同问，为啥不存在，趋近又不是,2
452,因为x没有定义,1
453,求助为何是c,3
454,十万火急,2
455,咋做，难死我了第三题,2
456,对数里的分子分母同时除以x，再将对数前的x移到对数里面变成x次方，用等价无穷小替换就可以了,1
457,对数里的分子分母同时除以x，再将对数前的x移到对数里面变成x次方，用等价无穷小替换就可以了,0
458,洛必达法则求极限的第九题怎么写,2
459,利用第二个重要极限做,1
460,第二个和第四个咋做帮帮我呀第二个和第四个咋做帮帮我呀,2
461,分子分母同除ex,1
462,不是相同的题目啊亲,3
463,一个道理,3
464,没有新课了吗,2
465,这道题怎么做,2
466,这些题怎么做啊，求大佬解答,2
467,求解第八题,3
468,谢谢,0
469,求解第八题,2
470,这道题求驻点有什么用,2
471,要求最值，先要清楚最值可能存在的两种情况在极值点处在端点处而极值点需要先根据函数的导数等于零初步判断，导数为零的点即为驻点,1
472,第五题怎么做啊,2
473,花钱买电子证书电子证书也得花钱吗时间过了之后还能看到自己的成绩吗,2
474,麻烦大家了，有会的求详解,2
475,取x等于吧，dx取,0
476,微分有没有大佬教教我这道题怎么做啊o，我太难了,2
477,谢谢,0
478,谢谢,0
479,初等函数的连续性用y替换后怎么得到的啊,2
480,lny在x趋近于时等价于y，上下一约，没了,1
481,lny在x趋近于时等价于y，上下一约，没了,1
482,等价无穷小代换,1
483,求教鸭怎么做呀,2
484,微分请问这道题怎么做，谢谢,2
485,这个有没有后边的视频，就是从定积分开始的,3
486,高等数学,3
487,这个极限怎么就是了呢求解,2
488,你把上面的Rnx带进去，就多了一个因子xx,1
489,这一步怎么变的啊怎么跟我学的泰勒公式不一样,2
490,就是把sinx看成一个整体，然后同你所知的一样用sinx代x,1
491,这不就是lnx的泰勒四次展开吗，这是常用泰勒公式之一,1
492,求解m怎么来的,2
493,分奇偶，奇次项为正，偶次项为负,1
494,请问为啥视频没有更新了,2
495,这一步是怎么得到的我算的根号g在分子上,2
496,根号g是常数，不参加求导,1
497,明白啦谢谢你啦,0
498,这道题怎么做啊大神帮忙,2
499,哦，谢谢,0
500,没事,1
501,因为反正切函数趋于无穷时为二分之派，X分之一趋于O所以极限为,0
502,大家帮帮忙，这个题是对的还是错的,2
503,求助求助请问这个题是为什么啊，,3
504,用洛必达法则,1
505,这一步是怎么来的呀求解,2
506,的五次方为,1
507,我明白啦谢谢你呀,0
508,的五次方为,1
509,这样做对吗,2
510,谁能帮助我帮我复习一下极限呀，我感觉学的还行，一做题就不会啦,2
511,求大佬帮忙解题,3
512,直接用公式就好了,1
513,这个方法行吗求解,2
514,这题咋写，麻烦帮我一下,2
515,谢了,0
516,第题怎么做鸭,2
517,厉害,0
518,怎么写,2
519,什么是数轴根标法,2
520,用数轴标根法，可以得出图像有处导数为,0
521,洛必达,1
522,请问有没有什么习题集可以推荐买,3
523,这题这么做啊，有没有大佬帮一下,2
524,啊我会了,0
525,请问老师，这种想法是否正确,0
526,证书怎么给,3
527,求助请问大佬们这个是哪里有问题感谢解答,2
528,为什么不能用无穷小代换哪,2
529,什么时候更新啊,2
530,大神看一下这个曲线的拐点怎么求出来的,2
531,因为已经说明x左右的凹凸性不同，所以该点为拐点,1
532,这个怎么写,2
533,大佬，这个怎么写,2
534,应该选A吧,0
535,怎么写了大佬,2
536,谢谢大佬,0
537,大佬怎么写哦,2
538,简单,1
539,这么简单,1
540,各位帮帮忙，在线求解答拜托,2
541,不要用洛必达法则分子减个一再加个一，再用等价无穷小替换,0
542,用洛必达法则求导，这个求导稍麻烦点,0
543,这个曲线的拐点怎么求出来的,2
544,求解,3
545,也可以把X变成X分之一当分母，再除个X下来让X的式子作分母，多用几次洛必达就出来了,1
546,也可以把X变成X分之一当分母，再除个X下来让X的式子作分母，多用几次洛必达就出来了,1
547,这样不对吧,0
548,怎么不对了,3
549,应该是对的吧,0
550,你这就有点儿麻烦了，直接在化为x分之一后加一减一用等价无穷小替换就好了,0
551,上面加一减一替换时只能替换乘积因子，加减不能分开换，可以用洛必达,1
552,求解此题,2
553,隐函数的求导，看下答案是对的吗,0
554,这是我们考试的题还没有答案但是我觉得你写的是对的谢谢你啦,0
555,求帮忙解一下这三道题，谢谢,3
556,运用拉格朗日中值定理,1
557,关于导数这两个有什么区别,2
558,第一个是函数的导数，第二个是内导乘外导,1
559,第一个是函数的导数，第二个是内导乘外导,1
560,我觉得一样,0
561,大神们，求解求解，不会，,2
562,由图象可得，或者用无穷小与无穷大的关系可得A选项正确，B选项是无穷小乘以有界量，仍为无穷小,1
563,谢谢啦发射爱心，,0
564,谢谢啦o,0
565,由图象可得，或者用无穷小与无穷大的关系可得A选项正确，B选项是无穷小乘以有界量，仍为无穷小,1
566,老师，几时更新,3
567,求解第四题,2
568,求详细解题过程,3
569,过程有错吗,2
570,高数中极限的n是不是就代表正整数,0
571,怎样判断极限是否存在如题,2
572,这个怎么做，各位大神帮忙求解，谢谢,2
573,趋近于负无穷大,0
574,求大神解答,2
575,泰勒公式请问一下怎么判断一个要展开的式子有没有余项比如x的次方减去乘x的次方加上x的平方减去乘x加,0
576,请问这个题怎么做啊不会求斜率,2
577,明明选B呀,3
578,第四题,3
579,导数的定义怎么做,2
580,这对吗不确定啊,2
581,导数的定义第四大题,2
582,高数新手求救，呜呜呜谢谢啦,2
583,第一步，我还是没看懂呜呜呜呜呜,2
584,是有什么定律吗，好像是上下求导出来的，嘻嘻,0
585,等价之后洛必达,1
586,我们还没学哈哈,1
587,谢谢啦,0
588,xlna怎么等价于的,2
589,这好像不对吧,1
590,求解，B为啥不对，谢谢,2
591,课程你们的更新了没有,1
592,sinx分之一有界,1
593,一个无穷大与一个有界函数的极限是定值，上课不听哦,1
594,求解,2
595,求解此题谢谢大家,2
596,这个夹挤定理怎么用,2
597,电子版证书和纸质版只能一起申请吗,3
598,蒙对了，求过程，谢谢各位,3
599,你可以设这个函数为x，求导代入就可以了怎么方便，怎么来,1
600,直接洛必达一下就解决了啊,1
601,你可以设这个函数为x，求导代入就可以了怎么方便，怎么来,1
602,上面的求导求错了吧,1
603,哪里错了，求指点,2
604,求导对的,1
605,课程什么时候更新啊,2
606,夹逼准则该如何运用啊，看看这道题,2
607,求看看我这样做对吗我为啥求不出来,2
608,第三个等号处出错了你搞成了商的求导，应该是上下单独求导这是罗比达法则,0
609,直接lnx你lnlnx啥意思,1
610,第二步就错了,3
611,求大神看第题咋做答案是,2
612,极限的概念第题那个怎么来的,2
613,奇函数C选项为什么是非奇函数，不是奇函数偶函数奇函数吗,0
614,这道题求到这怎么做,2
615,能帮我写一下吗,3
616,你再求下左右导数就可得结果了,1
617,综合请问，不定积分呢,2
618,请问这道题怎么写，谢谢,3
619,能拍清楚一点吗,3
620,老师，这题应该怎么写呢,2
621,按道理还要判断三阶导数，偷懒没写了不知道对不对,0
622,嗯呐，谢谢啦,0
623,先以t为自变量，利用重要极限法求出极限得到函数y的关系式然后在以x为自变量求y的阶导数y的阶导数为的点即拐点,0
624,看看这怎么办答案是,2
625,答案错了正确答案是,0
626,可以帮忙写一下过程吗谢谢,2
627,老师几时更新,3
628,第四题,3
629,分种情形正向和负向趋于所得的极限是不一祥的,1
630,第一题,3
631,如果是填空题直接对第二个条件求极限得出和舍去负的如果是大题得从第一个，第二个条件证证明数列的单调性，找到上界由极限存在的判别法说明极限存在然后在求极限同的过程,0
632,没懂怎么求极限,2
633,第十题,3
634,等比数列的求和公司直接可得答案,1
635,第九题,3
636,X分之一趋于,1
637,／arctanx／≤π为有界函数，x趋近所以为,0
638,这是什么原理我们没学过,2
639,X分之一趋于,1
640,可是分子,2
641,当x趋于无穷时反正切趋于二分之派,0
642,谢谢你,0
643,为什么不是勒,0
644,因为当x趋于时，arctanx才是和x等价的，而题目中是x趋于无穷,0
645,无穷小的三个性质之一，可得出答案为,1
646,第六题,2
647,平方差公式分子有理化,1
648,谢谢你,0
649,求极限的方法之一，分子或者分母有理有理化试试看，可得出答案,0
650,谢谢你,0
651,第题怎么做答案是,3
652,第二步怎么等于第三步的,2
653,等价无穷小替换,1
654,高阶导数,1
655,第四题咋做答案是无穷,2
656,我算出来也是–,0
657,应该是,0
658,答案有问题吧,0
659,老师，这个题的第四问怎么做呢麻烦您了,2
660,第二类换元法老师什么时候有不定积分的课啊，我觉得您讲的很好，易懂,0
661,请问，第七题怎么做,2
662,隐函数求导呀,1
663,有没有详细解析过程,3
664,老师，怎样申请电子证书啊是不是如果不申请纸质证书就没有电子证书啊,3
665,老师，这题怎么做呢,3
666,这个怎么求的啊，请各位帮忙看看第二题,2
667,直接求导啊孩子,1
668,老师请问这道题咋做求详细过程,2
669,还有种方法,0
670,等价无穷小好像只能在乘除运算中等价吧,0
671,你把它分开看不就是除了,1
672,洛必达,1
673,洛必达很复杂没必要,0
674,那怎么求,2
675,原来看到这类题目首先要想到平方差,0
676,对分子有理化才行,0
677,我算起也是二之一但是答案竟然是,0
678,哥们再看我写的我改了一遍，Csx不能直接代,0
679,拉格朗日中值定理,1
680,老师，这是为啥,2
681,因为,3
682,老师，请问这道题怎么做喃一点思路也没有,2
683,老师，请问一下第六题咋做呀,3
684,老师，分段函数的分段点与函数间断点有何区别,2
685,请问大家结果是不是,0
686,老师，第三题咋写,2
687,极限求全部的解析过程,2
688,函数极限无穷大时极限存在吗,2
689,不存在但可以以写成无穷大,0
690,疑难老师，x的x次方的倒数怎么求啊,2
691,用Log，两边求导,1
692,求解函数可导连续和极限存在有什么关系吗,2
693,可导和连续可导一定连续，连续不一定可导，连续和极限连续的点处极限一定存在,0
694,课程老师，我们学校讲的很快，马上就要讲积分，可以快一点吗,3
695,老师，求助,2
696,谢谢,0
697,洛比达,0
698,这个怎么求导数,2
699,等价无穷小替换,1
700,我这样做对不对,0
701,这个如何证明,3
702,求教题啊，数学真的不好，,2
703,同学有一个不会,3
